apartment_name,appartment_loc,zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility,luxury_facility_scores,luxury_category
nambiar millennia,Sarjapur Road,east,1,Under Construction,,668.0,,0.53,"[('mahatma vidhyalaya', '400 m'), ('eterssrt mall', '6.5 kms'), ('tate highway-35 ', '6.9 kms'), ('parsh hospital', '7.5 km'), ('atma college', '8.5 km'), ('maruti concorde business park', '8.5 km'), ('aqua world amusement park', '17.2 km'), ('bangalore football stadium', '24.3 km'), ('yelachenahalli metro station', '26 km'), ('kempegowda international airport', '59.3 km')]","['Yoga/Meditation Area', ""Children's Play Area"", 'Jogging Track', 'Badminton Court', 'Skating Rink', 'Gymnasium', 'Club House', 'Swimming Pool', 'Amphitheatre']",69.0,medium
provident capella,Samethanahalli,east,1,New Property,,431.0,480.0,0.55,"[('soukya road', '1.4 km'), ('mvj college of engineering', '5.9 kms'), ('hri ram global school', '6.8 km'), ('new life hospital', '7.1 km'), ('forum shantiniketan mall', '9.7 km'), ('atal bihari botanical garden', '12.7 km'), ('radisson blu bengaluru orr', '16.3 km'), ('kempegowda international airport', '42.1 km'), ('bangalore international academy', '1.5 km')]","[""Children's Play Area"", 'Creche/Day Care', 'Jogging Track', 'Park', 'Gymnasium', 'Club House', 'Gazebo', 'Swimming Pool', 'Amphitheatre']",70.0,medium
brigade citre budigere cross,Byrathi,east,1,New Property,,619.0,689.0,0.69,"[('one world international school', '3.2kms'), ('outh east asian college', '6.6kms'), ('ri sai health care', '1.5km'), ('orion uptown mall', '450m'), ('nh ', '75850m'), ('whitefield station', '8km'), ('kempegowda international airport', '28.4km')]","['Pet Park', ""Children's Play Area"", 'Landscape Garden', 'Gymnasium', 'Swimming Pool', 'Changing Area', 'Multipurpose court']",50.0,medium
sattva east crest bandapura,Budigere Cross,east,1,New Property,,537.0,598.0,0.7,"[('prerana international school', '700 m'), (' hosakote road', '1.8 km'), ('orion uptown mall', '2.1 km'), ('speciality hospital', '3.4 km'), ('atal bihari botanical garden', '3.5 km'), ('garden city university', '6.3 km'), ('vivanta bengaluru', '10.8 km'), ('wipro technologies', '14.4 km'), ('nh', '64814.9 km'), ('ksr bengaluru city junction', '23.1 km'), ('kempegowda international airport', '25.7 km')]","['Banquet Hall', 'Creche/Day Care', ""Children's Play Area"", 'Park', 'Gymnasium', 'Club House', 'Swimming Pool', 'Lounge', 'Golf Course']",74.0,medium
sowparnika columns,Soukya Road,east,1,New Property,486.0,619.0,736.0,0.52,"['Whitefield Kadugodi Metro Station', 'Nexus Shantiniketan Mall', 'Soukya Road', 'NH648', 'Shri Ram Global School', 'MVJ College of Engineering', 'RKB Sanjeevini Hospital', 'Kempegowda International Airport', 'Devangonthi Railway Station']","['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",44.0,low
sattva east crest,Bandapura,east,1,Relatively New,384.0,497.0,598.0,0.65,"['Orion Uptown Mall', 'Raghuvanahalli - Hosakote Road', 'NH648', 'Prerana International School', 'Garden City University', 'East Point Multi-Speciality Hospital', 'Kempegowda International Airport', 'Atal Bihari Botanical Garden', 'KSR Bengaluru City Junction', 'Wipro Technologies', 'Vivanta Bengaluru']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",123.0,medium
godrej splendour,Whitefield,east,1,New Property,,544.0,605.0,0.69,"['Whitefield (Kadugodi) Metro Station', 'Ascendas Park Square Mall', 'Whitefield Hoskote Road', 'Belathur Main Road', 'Orchids The International School', 'MVJ College of Engineering', 'Svyasa University', 'Miracle Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station', 'GR Tech Park Office Space', 'Four Points by Sheraton Bengaluru', 'Battarahalli Indoor Stadium', 'Sky Zone Bengaluru']","['Intercom Facility', 'Lift(s)', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",107.0,medium
artha neo midas,Hoskote,east,1,Moderatly Old,,484.0,539.0,0.23,"['Dhruva Nursing Home And Diagnostic Centre', 'Kempanna Nursing Home', 'Sri Srinivasa Hospital Bengaluru Rural', 'Ashwini Hospital', 'Mission Hospital Bengaluru Rural', 'Shreyas Maternity Home', 'G E F Eye Hospital', 'Hoskote Government Hospital']","['Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",30.0,low
sowparnika ashiyana,Whitefield,east,1,New Property,,413.0,460.0,0.5,"['Kadugodi Metro Station', 'Nexus Shantiniketan Mall', 'NH648', 'Channasandra Main Road', 'MVJ College of Engineering', 'Shri Ram Global School', 'New Life Hospital', 'Kempegowda International Airport', 'KSR Bengaluru City Junction', 'Vivanta Bengaluru', 'Jupiter homes']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",116.0,medium
sankaalp residency,Coconut Grove Layout,east,1,Old,750.0,800.0,,0.22,"['Temple', 'Shiva', 'Hanuman', 'Hanuman Temple', 'Gethseman Sungji Church', 'Bethel Assembly of God Church', 'Ganesha Temple', 'Om Shakti Temple', 'Ganesha temple', 'Hdfc ATM', 'Geriatric Hospitals', 'Sri Venkateshwara Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", 'Karunya Homoeopathy Centre', 'Urban Kids Clinic', ""Arjun's Child Care Clinic"", 'Nava Chaithanya Clinic', ""People's Clinic"", 'Stroke Treatment Paralysis', ""The Children's Clinic"", ""Women's Speciality Polyclinic"", 'Lifespan Diabetic Clinic', 'Motherhoodclinic', 'Jaya Dental Clinic', 'Veterinary Hospital', 'Shubham Ayurvedic Clinic', 'Asesh Dental Clinic', 'Eshawar HospItal', 'Bhagat Dental Clinic', 'R K Polyclinic', 'Bhagat Dental Clinic', 'Maneet Poly Clinic', ""Maruthi Medical's"", 'Dava Sagar', 'MedPlus', 'Chandru Medicals and General Stores', 'Apollo', 'Maruthi Medicals', 'State bank of india', 'Biryani House', 'Kalleshwari Rice corner', 'Starbucks', 'Ruchi', 'Ifun', 'Sweet Chariot Cafe', 'Chung Wak', 'Orchids The International School - Horamavu', 'Sunshine Childrens Home and School', 'St George High School', 'ProEmTech Infosytems Pvt. Ltd.']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage']",22.0,low
godrej park retreat,Sarjapur,east,1,New Property,409.0,486.0,,0.68,"['Hosa Road Metro Station9', 'Market Square Mall Sarjapur Road', 'SH 35', 'Harvest International School', 'Dayananda Sagar University2', 'Manipal Hospital Sarjapur Road', 'Kempegowda International Airport', 'KSR Bengaluru City Junction', 'Wipro Limited - SEZ', 'DoubleTree Suites by Hilton Hotel', 'Kala Bhoomi Amusement&Exhibition', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",102.0,medium
y at whitefield,Mahadevapura,east,1,New Property,,550.0,612.0,0.7,"['Looking Good Furniture', 'Sri Devi Karumariamman Temple', 'St. Theresa Novitiate', 'Shree Ramakrishna Temple', 'Sri Devi Karumariamman Temple Mahadwara', 'Andhra bank ATM', 'Hdfc ATM', 'Icici ATM', 'Kotak mahindra bank ATM', 'Hdfc bank ATM', 'Revive Aesthetic Clinic Skin Hair And Laser Center', 'Hair Loss Treatment in Bangalore - Hairline International', 'Agarwal Eye Hospital', 'Vignesh medicals', 'MedPlus', '24x7 Pharmacy', ""Visitor's Car Park"", 'Shell', 'Jagriti Theatre', 'Andhra bank', ""Domino's Pizza"", 'The Fat Chef', 'Cafe Bel Cibo Patio', 'The Farmhouse Kitchen & Bakery', 'Cream Stone', 'Udupi Delecacy', 'Saffron Patch', 'Daily Sushi', 'Sowparnika Bakery And Sweets', 'Toscano - Wine collection', 'The Marigold - Fine Dine', 'Bhagini Iris', 'Chez Mariannick', 'Bhagini Park', 'Cafe Coffee Day', ""Kolkata's"", 'Pizza Hut PHD', 'Refresh', 'Moriz Restaurant', 'Whitefield Dum Biriyani', 'Chin Chin', 'Bright Beginnings Preschool', 'The Dunmore House Preschool', 'Neev School', 'Viha', 'Kideens', 'Delhi Public School', 'Chrysalis Kids', 'Vivero International Preschool', 'Little Millenium']","['Swimming Pool', 'Fitness Centre / GYM']",17.0,low
new dimensions fifth element,Gunjur,east,1,Relatively New,,449.0,500.0,0.5,"['Dharmaraya Swamy Temple', 'Shiva Temple', 'Venkateshwara Temple', 'State bank of india ATM', 'Government Hospital', 'Dentawell', 'Apollo Pharmacy', 'Amphitheater', 'Vinayaka Cinema', 'Canara bank', 'Chai Point', 'Damadhish Fine Dine - Family Restaurant', 'Unwind Island Restaurant', 'Sri Lakshmi Vaibav Hotel', 'Nila Bhima', 'Vagdevi School Canteen', 'Punjabi Khanna', 'Den Bakery', 'Energizer', 'Eatoz', 'Sura Whine Shop', 'Chez Mariannick', 'Lassi Corner', 'Chez Mariannick Bakery & Restaurant', 'Bhagini Iris', 'Vagdevi Vilas super school']","['Lift(s)', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center', 'Waste Disposal', 'Rain Water Harvesting']",62.0,medium
sjs udyaan,Malleshpalya,east,1,Old,,500.0,,0.31,"['Srinivasa Temple', 'Ganesha Temple', 'Om Sakthi Temple', 'South indian bank ATM', 'Sbi ATM', ' ATM', 'Dcb ATM', 'Icici ATM', 'Axis bank ATM', 'Icici ATM', 'Federal bank ATM', 'Health Care Medi Clinic', 'Medihope Super Specialty Hospital', 'Apple Clinic', 'Easwari Clinic', 'Lotus Medical Centre', 'Kiyara Dental Multispeciality Clinic', 'Toothzone Dental Studio', ""Grihi's Diabetes Centre"", ""Dr. Pranjali Srivastava's Clinic"", 'Winter Mist Clinic', ""Sri Vinayaka Dental Concern's"", 'Vidyaratnam oeshadhalaya', 'Comfort multispeciality hospital', 'Tvacha Skin and Cosmetology Clinic', 'Ashwin Clinic', 'Smiley Dental Care', 'Kamaldeep Medicals', 'Ramdev Pharmacy', 'Apollo Pharmacy', 'Ayushman Panchakarma Therapy Centre', 'Patanjali Pharmacy', 'HP Petrol Bunk', 'Karnataka bank', 'Five Star Chicken', 'Ruchi Restaurant', 'Namma Madurai', 'Hotel sneha', 'Malabar Hotel', 'Biriyani Zone', 'Angel Mess', 'Grill Hut', 'Shake it Off - Thickshakes', 'Global City International School', 'Ayon International Pre School', 'Kids Castle', 'LR International School', ""Hayagriva Girls' School"", 'Government Primary School', 'Saraswati Vidya Mandir']","['Feng Shui / Vaastu Compliant', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Internet/wi-fi connectivity', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']",73.0,medium
bda flats,Volagerekallahalli,east,1,Moderatly Old,360.0,428.0,,0.16,"['Balaji Nursing Home', 'Sri Lakshmi Multi Speciality Hospital', 'Amruth Park Land']",,0.0,low
brigade cornerstone utopia,Varthur,east,1,New Property,867.0,1030.0,,1.2,"['Seetharam Palya Metro Station', 'Central Mall', 'State Highway 35', 'The Prodigies International School', 'Garden City University', 'Brookefield Multi Speciality Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station', 'International Tech Park Bangalore', 'Oakwood Residence Whitefield Bangalore', 'Fun World Amusement Park', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",80.0,medium
godrej park retreat,Sarjapur Road,east,1,Under Construction,,539.0,600.0,0.68,"['Hosa Road Metro Station9', 'Market Square Mall Sarjapur Road', 'SH 35', 'Harvest International School', 'Dayananda Sagar University2', 'Manipal Hospital Sarjapur Road', 'Kempegowda International Airport', 'KSR Bengaluru City Junction', 'Wipro Limited - SEZ', 'DoubleTree Suites by Hilton Hotel', 'Kala Bhoomi Amusement&Exhibition', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']",,0.0,low
bren zahara,Sarjapur Road,east,1,New Property,296.76,383.0,460.0,0.62,"['Kudlu Gate Metro Station (upcoming)', 'Total Mall', 'The Cambridge International School', 'BRS Global School', 'Vibgyor', 'Motherhood Hospital', 'Columbia Asia', 'Apollo Spectra Hospital', 'Bren Mercury', 'Wipro Limited', 'RGA Tech Park', 'New Wipro Campus', 'Shell Petrol Pump', 'The Amaatra Academy', 'Sakra Clinic']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center', 'Water softening plant']",92.0,medium
artha emprasa,Kambalipura,east,1,Relatively New,627.0,745.0,,0.45,"['Hoskote Government Hospital', 'Kempanna Nursing Home', 'Dhruva Nursing Home And Diagnostic Centre', 'Sri Srinivasa Hospital Bengaluru Rural', 'Ashwini Hospital', 'Mission Hospital Bengaluru Rural', 'Shreyas Maternity Home', 'G E F Eye Hospital']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']",38.0,low
alpe viva,Whitefield,east,1,Relatively New,,663.0,,0.62,"['Hdfc bank ATM', 'State bank of india ATM', 'Punjab national bank ATM', 'Nationwide Kadugodi Clinic', 'Telerad RXDX Kadugodi', 'Tele Rad RX DX Health care Pvt Ltd', 'Kannamangala Primary Health Center', 'Sky Diagnostic Centre kumbena agrahara', 'New Life Hospital bangalore', 'Shell', 'Icici bank & atm', 'Canara bank', 'Delhiwale', 'Subway', 'Delhi Mahal Restaurant', 'Wild Beans', 'Aiswarya Malayali Hotel', 'Whitefield railway station']","['Private Garden / Terrace', 'Lift(s)', 'Swimming Pool', 'Park', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",76.0,medium
sowparnika columns,Soukya Road,east,1,New Property,580.0,733.0,,0.55,"['Nallurahalli metro station', 'Pattandur agrahara metro station', 'Sri Sri Sri Muneshwara Swamy Temple', 'Bank of india ATM', 'Axis bank ATM', 'Hdfc ATM', 'Dr. Batra Clinic', 'Cloud Nine Hospital', 'Narayana Multispeciality Hospital', 'Apollo Pharmacy', 'MedPlus', 'International Tech Park', 'Nandini Restaurant Parking', 'Gopalan Global Axis Open Parking Entrance', 'Axis bank', 'Union bank of india', 'State bank of india', 'Andhra bank', 'Q Cinemas', 'Vindoos', 'Andhra biryanis', 'Khaaja Chowk', 'Ji Huzoor', 'Biriyani Zone', 'Southern Spice', 'Kritunga Restaurant', 'The Creek', 'Barbeque Nation', 'Bakasur', 'Cream Stone', ""Domino's Pizza"", 'Habanero', ""Swensen's Ice-cream"", ""Galito's"", ""Bloomsbury's Boutique Cafe And Artisan Bakery"", 'Punjabi by Nature 2.0', 'Cafe Coffee Day', 'Sri Udupi Park', 'Hyderabad Chefs', 'Absolute Barbecue - Whitefield', 'Nandhini', 'The Marigold - Fine Dine', 'Dot Yum', 'Sowparnika Bakery And Sweets', 'Government School', 'Vydehi School of Excellence', 'Jetking Computer Hardware and Networking', 'Schneider Electric India Pvt. Ltd.', 'Mercedes-Benz Research and Development India', 'ExxonMobil Services and Technology Private Limited']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water purifier', 'Swimming Pool', 'Security Personnel', 'Natural Light', 'Fitness Centre / GYM', 'Club house / Community Center']",59.0,medium
sobha lake gardens,KR Puram,east,1,New Property,765.0,909.0,,0.78,"['Baiyappanahalli', 'Ascendas Park Square', 'Medahalli Kadugodi', 'NH75', 'Lake Montfort School', 'Cambridge PU College', 'Manipal Hospital', 'Kempegowda Airport', 'Andhra Bank', 'K.R. Puram', 'ITPL Whitefield', 'M Chinnaswamy Stadium', 'Click Art Museum', 'Bangalore Palace', 'Nayara Petrol Pump']","['Power Back-up', 'Lift(s)', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",103.0,medium
bda gunjur housg project,Gunjur Palya,east,1,Relatively New,328.0,470.0,,0.25,"['Shiva Temple', 'Dharmaraya Swamy Temple', 'Venkateshwara Temple', 'State bank of india ATM', 'Government Hospital', 'Dentawell', 'Apollo Pharmacy', 'Amphitheater', 'Vinayaka Cinema', 'Canara bank', 'Chai Point', 'Damadhish Fine Dine - Family Restaurant', 'Unwind Island Restaurant', 'Sri Lakshmi Vaibav Hotel', 'Nila Bhima', 'Vagdevi School Canteen', 'Punjabi Khanna', 'Den Bakery', 'Energizer', 'Eatoz', 'Sura Whine Shop', 'Lassi Corner', 'Chez Mariannick', 'Chez Mariannick Bakery & Restaurant', 'Vagdevi Vilas super school']","['Lift(s)', 'High Ceiling Height', 'Natural Light']",23.0,low
bcd emprasa,Kambalipura,east,1,New Property,,622.0,692.0,0.35,"['Hoskote Government Hospital', 'Kempanna Nursing Home', 'Dhruva Nursing Home And Diagnostic Centre', 'Sri Srinivasa Hospital Bengaluru Rural', 'Ashwini Hospital', 'Mission Hospital Bengaluru Rural', 'Shreyas Maternity Home', 'G E F Eye Hospital']","['Swimming Pool', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']",32.0,low
artha emprasa,Kambalipura,east,1,New Property,,629.0,700.0,0.34,"['Hoskote Government Hospital', 'Kempanna Nursing Home', 'Dhruva Nursing Home And Diagnostic Centre', 'Sri Srinivasa Hospital Bengaluru Rural', 'Ashwini Hospital', 'Mission Hospital Bengaluru Rural', 'Shreyas Maternity Home', 'G E F Eye Hospital']",,0.0,low
ss felicity homes,Nallurhalli,east,1,Moderatly Old,500.0,634.0,750.0,0.6,"['Looking Good Furniture', 'Veeranjaneya Devasthana', 'Sri Devi Karumariamman Temple Mahadwara', 'Sri Devi Karumariamman Temple', 'St. Theresa Novitiate', 'Shree Ramakrishna Temple', 'Jamma Masjid', 'Sri Kalikamba Temple', 'Agarwal Eye Hospital', 'Apoorva Dental Clinic', 'Vasan Eye Care', 'Sai Dental Clinic', 'Cure N Care Homoeopathic clinic', '24x7 Pharmacy', 'National Pharma', 'Pushpa Medicals', 'V-Care Pharma', 'Apollo Pharmacy', 'Avenue Pharma', ""Visitor's Car Park"", 'Vijaya bank', 'City union bank', 'Hdfc bank', 'Syndicate bank', 'Pizza Hut PHD', ""Kolkata's"", 'Cafe Coffee Day', 'Bhagini Park', 'Refresh', 'Moriz Restaurant', 'Chin Chin', 'The Biere Street', ""Glen's Bakehouse"", 'Whitefield Dum Biriyani', 'Blend - Royal Orchid Suites', 'Money Heist Bar & Restaurant', ""Domino's Pizza"", 'Herbs and Spices', 'Shri Lakshmi Vaibhava', 'Mayuri', 'Five Star Chicken', 'Bangalore Mandarin', 'Chrysalis Kids', 'Neev School', 'Little Millenium', 'Vivero International Preschool', 'Delhi Public School', 'Viha', 'Kideens', 'Kuvempu Smaraka Vidya Kendra School']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Park', 'Visitor Parking']",37.0,low
ahad serenity,Sarjapur Road,east,1,New Property,,665.0,740.0,0.6,"['Beratena Agrahara Metro Station', 'Market Square Mall Sarjapur Road', 'Srinagr-kanyakumari Highway', 'Amrita Vishwa Vidyapeetham, Bengaluru', 'ORCHIDS The International School', 'Springleaf Hospital', 'Kempegowda International Airport', 'Karmelaram Railway Station', 'JP Software Park', 'The Oterra Hotel', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",50.0,medium
maruti prudential apartments,Old Airport Road,east,1,Old,,584.0,650.0,0.51,"['Brand Factory', 'Hanuman temple', 'Chowdeshwari Temple', 'Sri Lakshmi Venkateshwara Temple', 'Ganapati Temple', 'Sathya Narayana Temple', 'Mosque', 'Om Shakti Temple', 'Shiva Temple', 'Ranganatha Temple', 'Basaveshwara Temple', 'Citibank ATM', 'Piles and Fistula Clinic', 'Chitra Dental Clinic', 'Dental Clinic', 'Hal', 'Nobel Chemist', 'Sri Lakshmi Medical Stores', 'Astra Medica', 'Lakshmi Medicals', 'Greenhouse Pharma', 'Indian Oil', 'State bank of india yemalur', 'Axis bank', 'Tulasi Theatre', ""Bancharam's"", 'Satis Tiffins', 'Kabab Mirchi', 'Andhra Mess', 'Ram Bhog', 'Diamond Restaurant', 'Viajaya Sai Andhra Hotel', 'Subway', 'California Burrito', 'Sampradaya - Fast Food Fresh Fruits And Vegetables', 'Souvee', 'Unitea Hub Cafe', 'Megha Restaurant', 'Tirumala Bar And Resturant', 'Odia Mess', 'Euro Kids', 'Kiddie International Academy', 'Prasad Vidya Mandir', 'Prasad Vidya Mandir', 'Blooming Kidz Daycare', 'CGI', 'Bravoventure India Private Limited', 'Srinivasa Enterprises', 'Lifestyle International Pvt. Ltd', 'Yemalur public library']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",48.0,low
global white pearl,Sarjapur Road,east,1,Under Construction,580.0,750.0,,0.7,"['Suzli Shop', 'Champion International School', ""Endeavour's International School"", 'Greenwood High Intl School', 'The Intl School Bangalore', 'Oakridge Intl School', 'Christ College', 'Inventure Academy', 'Sanjana Hospital', 'Aaxis Hospital', 'Kushal Reddy Hotel', 'Italian Pizza', 'The Chef Couple', 'Sri Vinayaka Bricks and Tiles', 'Cafe Asia']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",51.0,medium
gowri cascade,Whitefield,east,1,Under Construction,525.0,750.0,,0.7,"['Looking Good Furniture', 'Jamma Masjid', 'Calvary Church', 'Shree Ramakrishna Temple', 'Sri Devi Karumariamman Temple Mahadwara', 'Sri Devi Karumariamman Temple', 'Veeranjaneya Devasthana', 'Lady of Lourdes Chruch', 'Sai Dental Clinic', 'Cure N Care Homoeopathic clinic', 'Vasan Eye Care', 'Apoorva Dental Clinic', 'Agarwal Eye Hospital', 'Apollo Pharmacy', 'Avenue Pharma', 'V-Care Pharma', 'Pushpa Medicals', 'National Pharma', ""Visitor's Car Park"", 'City union bank', 'Hdfc bank', 'Vijaya bank', 'Syndicate bank', 'Idfc first bank whitefield', 'Bandhan bank', 'Mayuri', 'Five Star Chicken', 'Bangalore Mandarin', 'Shri Lakshmi Vaibhava', 'Punjabi Kitchen', ""Domino's Pizza"", 'Money Heist Bar & Restaurant', 'Whitefield Dum Biriyani', 'Herbs and Spices', ""Glen's Bakehouse"", 'Indira Canteen', 'Moriz Restaurant', 'Blend - Royal Orchid Suites', 'Refresh', 'T.I.M.E Kids', 'St. Thomas School', 'Vivero International Preschool', 'Little Millenium', 'Maple Bear Canadian Pre-School', 'Government School', 'Delhi Public School', 'Viha', 'Kideens', 'Daffodil Pre School', 'Kuvempu Smaraka Vidya Kendra School']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Water softening plant']",68.0,medium
ashish green apartment,Kuthaganahalli,east,1,Relatively New,550.0,653.0,,0.4,,"['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",87.0,medium
brigade cornerstone utopia,Varthur,east,1,New Property,980.0,1164.0,,1.1,"['Seetharam Palya Metro Station', 'Central Mall', 'State Highway 35', 'The Prodigies International School', 'Garden City University', 'Brookefield Multi Speciality Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station', 'International Tech Park Bangalore', 'Oakwood Residence Whitefield Bangalore', 'Fun World Amusement Park', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",44.0,low
artha emprasa,Kambalipura,east,1,New Property,411.0,555.0,692.0,0.32,"['Hoskote Government Hospital', 'Kempanna Nursing Home', 'Dhruva Nursing Home And Diagnostic Centre', 'Sri Srinivasa Hospital Bengaluru Rural', 'Ashwini Hospital', 'Mission Hospital Bengaluru Rural', 'Shreyas Maternity Home', 'G E F Eye Hospital']","['Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']",32.0,low
triaxis splendour plus,Hoskote,east,1,Under Construction,,428.0,476.0,0.33,"[(' hospital', '500 m'), ('tshoskote junction', '1 kms'), ('new horizons school', '1 kms'), ('bharath matha school', '2 kms'), ('citizen school', '2 kms'), ('srinivasa hospital', '2 kms'), ('chaitanya medical center', '2 kms'), ('brigade pvr orion mall', '3 kms'), ('vibgyor school', '4 kms'), ('delhi public school', '7 kms'), ('forum value mall', '10 kms'), ('kr puram railway station', '12 kms'), ('byappanahalli metro station', '15 kms'), ('narasapura kiadb industrial area', '18 kms'), ('bangalore international airport', '25 kms')]","['Yoga/Meditation Area', ""Children's Play Area"", 'Jogging Track', 'Park', 'Gymnasium', 'Club House', 'Swimming Pool', 'Lounge', 'Amphitheatre']",70.0,medium
triaxis splendour plus,Hoskote,east,1,Under Construction,,428.0,476.0,0.33,"[(' hospital', '500 m'), ('tshoskote junction', '1 kms'), ('new horizons school', '1 kms'), ('bharath matha school', '2 kms'), ('citizen school', '2 kms'), ('srinivasa hospital', '2 kms'), ('chaitanya medical center', '2 kms'), ('brigade pvr orion mall', '3 kms'), ('vibgyor school', '4 kms'), ('delhi public school', '7 kms'), ('forum value mall', '10 kms'), ('kr puram railway station', '12 kms'), ('byappanahalli metro station', '15 kms'), ('narasapura kiadb industrial area', '18 kms'), ('bangalore international airport', '25 kms')]","['Lounge', 'Gymnasium', 'Yoga/Meditation Area', 'Swimming Pool', ""Children's Play Area"", 'Amphitheatre', 'Jogging Track', 'Club House', 'Park']",70.0,medium
