apartment_name,appartment_loc,zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility,luxury_facility_scores,luxury_category
casagrand boulevard,Chikkagubbi,north,2,New Property,1166.0,1385.0,,1.4,"['Nagawara Metro Station', 'Bhartiya Mall Of Bengaluru', 'Thanisandra Main Road', 'New Horizon International School', 'Vision PU College For Boys', 'Cratis Hospital', 'Kempegowda International Airport', 'KSR Bengaluru City Junction', 'Embassy Manyata Business Park', 'The Leela Hotel Bhartiya City', 'Fun World Amusement Park', 'Prestige Augusta Golf Village', 'Rail Wheel Factory Stadium']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'False Ceiling Lighting', 'Swimming Pool', 'No open drainage around', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",41.0,low
casagrand lorenza,Kogilu,north,2,Moderatly Old,1070.0,1271.0,,1.2,"['Hyderabad Highway', 'REVA University', 'KNS Institute of Technology', 'Columbia Asia Hospital', 'Regal Hospital', 'Majestic Bus Stand', 'Manyatha Tech Park']","['Power Back-up', 'Private Garden / Terrace', 'Lift(s)', 'Water purifier', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",69.0,medium
casagrand boulevard,Chikkagubbi,north,2,New Property,1143.0,1455.0,1726.0,1.06,"['Nagawara Metro Station', 'Bhartiya Mall Of Bengaluru', 'Thanisandra Main Road', 'New Horizon International School', 'Vision PU College For Boys', 'Cratis Hospital', 'Kempegowda International Airport', 'KSR Bengaluru City Junction', 'Embassy Manyata Business Park', 'The Leela Hotel Bhartiya City', 'Fun World Amusement Park', 'Prestige Augusta Golf Village', 'Rail Wheel Factory Stadium']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'False Ceiling Lighting', 'No open drainage around', 'Recently Renovated', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",69.0,medium
godrej royale woods,Devanahalli,north,2,Relatively New,,939.0,1045.0,0.9,"['The Arcade at Brigade Orchards', 'NH 44', 'Akash International School', 'Chanakya University', 'Akash Hospital', 'Kempegowda International Airport', 'Jade Garden', 'Clarks Exotica', 'RFC Football Academy', 'Padukone – Dravid CSE']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",63.0,medium
rohan upavan,Hennur Road,north,2,New Property,780.0,958.0,1100.0,1.26,"['Nagawara Metro Station', 'Bhartiya Mall Of Bengaluru', 'State Highway 104', 'United International School', 'REVA University', 'Shree Manyata Hospitals', 'Kempegowda International Airport', 'Thanisandra Railway Station', 'International Tech Park Bangalore', 'The Leela Palace', 'Fun World Amusement Park', 'Prestige Augusta Golf Village']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",69.0,medium
sri balaji serene,Yelahanka,north,2,Under Construction,899.0,1190.0,1200.0,0.84,"['Yelahanka Metro Station', 'The Galleria Mall', 'Doddaballapur Main Road', 'Nagarjuna Pre University College', 'Ryan International School', 'Omega Multispeciality Hospital', 'Kempegowda International Airport', 'Yelahanka Junction', 'Manyata Tech Park', 'Taj Yeshwantpur, Bengaluru', 'Fun World Amusement Park', 'Bengaluru Golf Club', 'Hoysala Ground']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",74.0,medium
concorde neo,Jakkur,north,2,Under Construction,890.0,1189.0,1200.0,1.09,"['Sri Shaneeswhara Swamy Devalaya', 'Canara bank ATM', 'State bank of india ATM', 'Hdfc bank ATM', 'Kotak mahindra bank ATM', 'Axis bank ATM', 'Andhra bank ATM', 'Srujan Dental Care', 'Sangameshwara Clinic', 'Sai Hospital', 'Navya Hospital', 'United Pharma', 'Ram Medicals', 'Sri Varsha Medicals and General Store', 'Bharat Petroleum', 'Orchid-tree', 'Bharat Petroleum', 'Corporation bank', 'Icici bank', 'Kotak mahindra bank', 'State bank of india', 'State bank of india', 'Syndicate bank', 'Kotak mahindra bank', 'Chai Point Juice Corner', 'Karthik Chicken Center', 'Ghar Ka Dhaba', 'Chung Wah', 'KFC', 'Sizzling Tandoor', 'Pathankot', 'California Burrito', 'Subway', 'WOW momo', 'Kinara', 'Aaha Andhra', 'Food Court', 'Five Star Chicken', 'Hotel Sri Durga Darshini', 'Baohood', 'Srujan Play Home', 'Jawaharlal Nehru Centre For Advanced Scientific Research', 'TLC Montessori Preschool', 'Samar International Islamic School', 'Manasa Public School', 'Kensri School', 'Tanisandra railway station', 'Alcatel Lucent India', 'Nvidia', 'Microsoft']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Waste Disposal', 'Rain Water Harvesting']",61.0,medium
dsr rr avenues,Yelahanka,north,2,New Property,,1236.0,1375.0,0.99,"['The Galleria Mall', 'Yehlanka Main Road', 'NH 44', 'Swamy Vivekananda International School', 'Brindavan Group of Institutions', 'Soukya Hospital', 'Kempegowda International Airport', 'Lake Garden', 'Yelahanka Junction', 'Manyata Tech Park', 'Attide Boutique Hotel', 'BestShot Badminton Academy']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",68.0,medium
ajmera lakeside paradise,Kempanahalli,north,2,Relatively New,750.0,907.0,1026.0,0.81,"['Dasarahalli Metro Station', 'Garuda Mall', 'Doddaballapur Main Road', 'Nagarjuna Pre University College', 'Ryan International School, Yelahanka', 'Neha Prakash Hospital', 'Kempegowda International Airport', 'Yelahanka Junction']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",62.0,medium
unishire the weave,Chokkanahalli,north,2,New Property,819.0,997.0,1137.0,0.88,"['Sri Sanaischara temple', 'Axis bank ATM', 'Andhra bank ATM', 'Union bank ATM', 'Canara bank ATM', 'Icici bank ATM', 'State bank of india ATM', 'Regal Hospital', 'Dhanavantri Hospital', 'Agarahara Government Hospital', 'Sai Hospital', 'Chaithanya Poly Clinic', 'Shadab Hospital', 'Sri Ragavendra Poly Clinic', 'Amruth Hospital', 'Indigo Dental Care', 'Varsha Hospital', 'MK Dental Excellence', 'Bangalore Prime Hospital', 'Srujan Dental Care', 'Zenith Dental', 'Dr Bhanus Skin Clinic', 'Dr. Shekars Diabetes Speciality Centre', 'Amruth Clinic', 'Axis Hospital', 'Krishna Medicals', 'Apollo Pharmacy', 'Sri sai sankara pharm', 'Bharat Petroleum', 'Orchid-tree', 'Corporation bank', 'Icici bank', 'Kotak mahindra bank', 'New Mast Punjabi', 'Jus trufs', 'Beijing Bites', 'De Grand', 'Udupi Upahar', 'Ganesh Uphaar', 'Karnataka College', 'Jawaharlal Nehru Centre For Advanced Scientific Research', 'Samar International Islamic School', 'Golden Chariot Public School', 'Srujan Play Home', 'I Play I Learn', 'Little Lions', 'Tanisandra railway station', 'BRPL Baketech Pvt LTD - Just bake', 'Subconscious Compute Pvt. Ltd.']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",73.0,medium
