apartment_name,appartment_loc,zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility
in Sowparnika Columns,"Soukya Road, Whitefield",east,1,0 to 1 Year Old,486 sq.ft,,736 sq.ft,52 Lac,"['Whitefield Kadugodi Metro Station', 'Nexus Shantiniketan Mall', 'Soukya Road', 'NH648', 'Shri Ram Global School', 'MVJ College of Engineering', 'RKB Sanjeevini Hospital', 'Kempegowda International Airport', 'Devangonthi Railway Station']","['Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Sobha Sentosa,"Balagere, near Panathur",east,1,0 to 1 Year Old,432.5 sq.ft,,680 sq.ft,81.5 Lac,"['Seetharam Palya Metro Station', 'Brookefield Mall', 'State Highway', 'ORCHIDS The International School', 'Patel Group Of Institutions', 'Manipal Hospital Varthur Road', 'Kempegowda International Airport', 'Belandur Road', 'International Tech Park Bangalore', 'Radisson Blu Bengaluru Outer Ring Road', 'Fun World Amusement Park', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Lift(s)', 'Water purifier', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
in Sattva East Crest,"Bandapura, Old Madras Road",east,1,1 to 5 Year Old,384 sq.ft,,598 sq.ft,65 Lac,"['Orion Uptown Mall', 'Raghuvanahalli - Hosakote Road', 'NH648', 'Prerana International School', 'Garden City University', 'East Point Multi-Speciality Hospital', 'Kempegowda International Airport', 'Atal Bihari Botanical Garden', 'KSR Bengaluru City Junction', 'Wipro Technologies', 'Vivanta Bengaluru']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
in Godrej Splendour,"Whitefield, Bangalore",east,1,Within 3 months,,,605 sq.ft,68.5 Lac,"['Whitefield (Kadugodi) Metro Station', 'Ascendas Park Square Mall', 'Whitefield Hoskote Road', 'Belathur Main Road', 'Orchids The International School', 'MVJ College of Engineering', 'Svyasa University', 'Miracle Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station', 'GR Tech Park Office Space', 'Four Points by Sheraton Bengaluru', 'Battarahalli Indoor Stadium', 'Sky Zone Bengaluru']","['Intercom Facility', 'Lift(s)', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
in Artha Neo Midas,"Hoskote, Bangalore",east,1,5 to 10 Year Old,,,539 sq.ft,23 Lac,"['Dhruva Nursing Home And Diagnostic Centre', 'Kempanna Nursing Home', 'Sri Srinivasa Hospital Bengaluru Rural', 'Ashwini Hospital', 'Mission Hospital Bengaluru Rural', 'Shreyas Maternity Home', 'G E F Eye Hospital', 'Hoskote Government Hospital']","['Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']"
in Assetz 63 Degree East,"Kodathi, near Sarjapur Road",east,1,1 to 5 Year Old,450 sq.ft,,691 sq.ft,82 Lac,"['Hosa Road Metro Station', 'Market Square Mall', 'NH48', 'Primus PU College', 'Primus Public School', 'Kshema Hospital', 'Kempegowda International Airport', 'KSR Bengaluru City Junction', 'Global Technology Park', 'DoubleTree Suites by Hilton Hotel', 'Loco Bear - Entertainmnet hub', 'MEG Golf Course', 'Atal Bihari Vajpayee Stadium']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
in Sowparnika Ashiyana,"Whitefield, Bangalore",east,1,Within 6 months,,,460 sq.ft,50 Lac,"['Kadugodi Metro Station', 'Nexus Shantiniketan Mall', 'NH648', 'Channasandra Main Road', 'MVJ College of Engineering', 'Shri Ram Global School', 'New Life Hospital', 'Kempegowda International Airport', 'KSR Bengaluru City Junction', 'Vivanta Bengaluru', 'Jupiter homes']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']"
in Sobha Sentosa,"Balagere, near Panathur",east,1,25-Jan,432.5 sq.ft,,680 sq.ft,95 Lac,"['Seetharam Palya Metro Station', 'Brookefield Mall', 'State Highway', 'ORCHIDS The International School', 'Patel Group Of Institutions', 'Manipal Hospital Varthur Road', 'Kempegowda International Airport', 'Belandur Road', 'International Tech Park Bangalore', 'Radisson Blu Bengaluru Outer Ring Road', 'Fun World Amusement Park', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']"
in Sankaalp Residency,"Coconut Grove Layout, Horamavu",east,1,10+ Year Old,750 sq.ft,800 sq.ft,,22 Lac,"['Temple', 'Shiva', 'Hanuman', 'Hanuman Temple', 'Gethseman Sungji Church', 'Bethel Assembly of God Church', 'Ganesha Temple', 'Om Shakti Temple', 'Ganesha temple', 'Hdfc ATM', 'Geriatric Hospitals', 'Sri Venkateshwara Clinic', ""Dr. Sailaja's Super Speciality Eye Hospital"", 'Karunya Homoeopathy Centre', 'Urban Kids Clinic', ""Arjun's Child Care Clinic"", 'Nava Chaithanya Clinic', ""People's Clinic"", 'Stroke Treatment Paralysis', ""The Children's Clinic"", ""Women's Speciality Polyclinic"", 'Lifespan Diabetic Clinic', 'Motherhoodclinic', 'Jaya Dental Clinic', 'Veterinary Hospital', 'Shubham Ayurvedic Clinic', 'Asesh Dental Clinic', 'Eshawar HospItal', 'Bhagat Dental Clinic', 'R K Polyclinic', 'Bhagat Dental Clinic', 'Maneet Poly Clinic', ""Maruthi Medical's"", 'Dava Sagar', 'MedPlus', 'Chandru Medicals and General Stores', 'Apollo', 'Maruthi Medicals', 'State bank of india', 'Biryani House', 'Kalleshwari Rice corner', 'Starbucks', 'Ruchi', 'Ifun', 'Sweet Chariot Cafe', 'Chung Wak', 'Orchids The International School - Horamavu', 'Sunshine Childrens Home and School', 'St George High School', 'ProEmTech Infosytems Pvt. Ltd.']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage']"
in Eden Park at The Prestige City,"Sarjapur, Bangalore",east,1,25-May,447 sq.ft,,642 sq.ft,82 Lac,"['ITPL Metro Station', 'Sri Durga Complex', 'SH 35', 'Little Elly', 'Azim Premji University', 'Spandana Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']"
