apartment_name,appartment_loc,zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility
in saranya sannddhi,"Nagondanahalli, near Whitefield",east,2,Within 3 months,700 sq.ft,,1005 sq.ft,75 Lac,"['Vallasiddi Vinayaka Temple Chansandra', 'Rama temple', 'Calvary Church', 'Lady of Lourdes Chruch', 'Hdfc bank ATM', 'Andhra bank ATM', 'Cure N Care Homoeopathic clinic', 'Bhagwan Mahavir Jain Health Center', 'Sai Dental Clinic', 'Avenue Pharma', 'Apollo Pharmacy', 'V-Care Pharma', 'Axis bank atm', 'Karnataka bank', 'Manappuram finance bank', 'Coporation city bank', 'Syndicate bank', 'Bandhan bank', 'Idfc first bank whitefield', 'Axis bank', 'Ujjivan small finance bank', 'Icici bank', 'Hdfc bank', 'City union bank', 'Nandi Upachar', 'Chandana Bakery', 'New Uduppi Hotel', 'Om Sai Punjabi Dhaba', 'manju wines', 'Indira Canteen', 'Baskin Robbins', 'Khan Saheb', 'Punjabi Kitchen', 'Chung WAH', 'Cafe Coffee Day', 'Blend - Royal Orchid Suites', 'Herbs and Spices', 'Bangalore Mandarin', 'Five Star Chicken', 'Mayuri', 'Money Heist Bar & Restaurant', 'Shri Lakshmi Vaibhava', 'Government Model middle school', 'MVJ College of Engineering', 'Whitefield Global School', 'Kuvempu Smaraka Vidya Kendra School', 'Government School', 'Maple Bear Canadian Pre-School', 'Divine Light Trust For The Blind', 'Footprints Preschool and Daycare']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
in Gopalan Atlantis,"Dodsworth Layout, Whitefield",east,2,5 to 10 Year Old,,,1250 sq.ft,1.37 Cr,"['Sri Sri Sri Muneshwara Swamy Temple', 'Lady of Lourdes Chruch', 'Shree Ramakrishna Temple', 'Jamma Masjid', 'Sri Devi Karumariamman Temple', 'Calvary Church', 'Sri Devi Karumariamman Temple Mahadwara', 'Icici ATM', 'Andhra bank ATM', 'Andhra bank ATM', 'Sai Dental Clinic', 'Vasan Eye Care', 'Cure N Care Homoeopathic clinic', 'Apoorva Dental Clinic', 'Apollo Pharmacy', 'Avenue Pharma', 'V-Care Pharma', 'Pushpa Medicals', 'National Pharma', 'Idfc first bank whitefield', 'Bandhan bank', 'Hdfc bank', 'City union bank', 'Vijaya bank', 'Ujjivan small finance bank', 'Axis bank', 'Punjabi Kitchen', 'Five Star Chicken', 'Mayuri', 'Bangalore Mandarin', 'Shri Lakshmi Vaibhava', 'Sowparnika Bakery And Sweets', ""Domino's Pizza"", 'Whitefield Dum Biriyani', 'Khan Saheb', 'Chung WAH', 'Baskin Robbins', 'Cafe Coffee Day', 'Money Heist Bar & Restaurant', 'Indus Early Learning Centre', 'Daffodil Pre School', 'St. Thomas School', 'Kideens', 'Delhi Public School', 'Viha', 'T.I.M.E Kids', 'Maple Bear Canadian Pre-School', 'Vivero International Preschool', 'Little Millenium', 'Footprints Preschool and Daycare']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
in SDR Sri Gayathri Elite,"Alfa Gardens, KR Puram",east,2,5 to 10 Year Old,,,1158 sq.ft,55 Lac,"['Muneshwara Temple', 'Temple', 'Swami Vivekananda Ashrama', 'Masjid-e-Madina', 'Hoodi Mosque', 'Hanuman Temple', 'State bank of india ATM', 'Icici bank ATM', 'Canara bank ATM', 'Hdfc bank ATM', 'Punjab national bank ATM', 'Sbi ATM', 'Citi bank ATM', 'State bank of mysore ATM', 'Sri Krishna Poly Clinic', 'Kids Health Link', 'Unique Smile Dental Care Centre', ""Dr. Rao's Skin Clinic"", 'Clove Dental', 'Amrutha Healthcare', 'Sri Sai Child Clinic', 'Bharat Piles & Fistula Clinic', 'Dental Frames Dental Clinic', 'Seegehalli Government Hospital', 'S.M.C. Dental Clinic', 'Sandhya Clinic', 'Sri Krishna Physiotherapy Clinic', 'Sri Manjunatha Clinic', 'Tirumala Newborn Kids and Ortho Clinic', 'Indira Sai Dental Care', 'Shankar Nursing Home and Diagnostic Labratory', 'Vicky Family Life', 'Sancheswar Clinic', 'Srinivasa Medicals', 'Rashi Medical Stores', 'Bharat Petroleum Pump', 'Bharat Petroleum', 'Punjab national bank', 'State bank of mysore', 'Srinidhi Sagar', 'Five Star Chicken', 'Chillys', 'The Palet', 'Zingron', 'Hoodi Primary School', 'Hoodi High School', 'Indus Valley School', 'Guntur Oxford School', 'Hoodi railway station', 'McKinsey & Company New Ventures']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Rain Water Harvesting']"
in Adora Residency,"Wasalayout, Doodanekundi, Doddanakundi Industrial Area 2, Outer Ring Road East",east,2,1 to 5 Year Old,,1165 sq.ft,,76 Lac,"['Sitaramapalya metro station', 'Kundalahalli metro station', 'Hoodi junction metro station', 'Amman Temple', 'Basweshwara Nandeswara Temple', 'Standard chartered ATM', 'Ing vysya ATM', 'Citi bank ATM', 'Sbi ATM', 'Axis bank ATM', 'State bank of mysore ATM', 'Telerad Rx Dx Health Care', 'Sbf Health Bengaluru Urban', 'Medplus', 'Aruna Medicals', ""RMZ NXT Visitor's Parking"", 'Esskay Totalgaz', 'Shell', 'Fuel Station', 'Udupi Grand', 'Bier Garten', 'New Udupi Garden', 'Maple', 'Oregano', 'Yumatos', 'Ankur Family Restaurant', 'Bhagini Bar', 'Bhagini Restaurant', 'Ginger and Garlic Indian Cuisine', 'california burrito', 'Biryani Paradise', ""Domino's Pizza"", 'Pepper Kitchen', 'Sri Balaji Andhra Delux Mess', 'Lemon Tree Hotel', 'Klay Day Care', 'Ekya School', 'Gopalan Pu And Commerce College', 'Government Primary School', 'SM English School', 'Gopalan International Schoool', 'Google India Pvt Ltd', 'Red Hat India Pvt. Ltd.', 'Qualcomm', 'DTDC Courier', 'Bagmane admin building', 'Finastra', 'Bagmane Developers Private Limited', 'Amazon', 'Ernst & Young']",
in Godrej Splendour,"Whitefield, Bangalore",east,2,25-Aug,,,981 sq.ft,1.1 Cr,"['Whitefield (Kadugodi) Metro Station', 'Ascendas Park Square Mall', 'Whitefield Hoskote Road', 'Belathur Main Road', 'Orchids The International School', 'MVJ College of Engineering', 'Svyasa University', 'Miracle Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station', 'GR Tech Park Office Space', 'Four Points by Sheraton Bengaluru', 'Battarahalli Indoor Stadium', 'Sky Zone Bengaluru']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Club house / Community Center']"
in Home Win Teja Nivas,"KR Puram, Bangalore",east,2,1 to 5 Year Old,712 sq.ft,890 sq.ft,900 sq.ft,50 Lac,"['Muneshwara Temple', 'Sbi ATM', 'Bank of india ATM', 'Icic bank ATM', 'Indira Sai Dental Care', 'Satya Sai', 'Thyrocare', 'Seegehalli Government Hospital', ""Dr. Mohan Babu's Clinic"", 'Tirumala Newborn Kids and Ortho Clinic', 'Shankar Nursing Home and Diagnostic Labratory', 'Swiss Medic Health Care', 'Shanthinilaya Hospital', 'Health Plus Multi Speciality Hospital', 'Deepa Hospital', 'Indianova Heart Centre', 'Sri Sai Child Clinic', 'Shyam ENT clinic', 'Sri Krishna Physiotherapy Clinic', 'Dental Frames Dental Clinic', 'Sandhya Clinic', 'Sri Manjunatha Clinic', 'Patil Hospital', 'Pooja Dental and Orthodontic Clinic', 'S.M.C. Dental Clinic', 'Amrutha Healthcare', ""Dr. Rao's Skin Clinic"", 'Speciality Dental Clinic', 'Sri Krishna Poly Clinic', 'Sri Lakshmi Super Speciality Hospital', 'Vijaya Lakshmi Clinic', 'Bharat Piles & Fistula Clinic', 'Bhargava Dental Clinic', 'Deepa Clinic', 'Shree Srinivasa Homeo Clinic', 'Bhagya Sri Clinic', 'SLV medicals', 'Aditya Pharma', 'Rashi Medical Stores', 'Bharat Petroleum Pump', 'Bhagini Residency', 'Dominos Pizza', 'Bruice Bar & Restaurant', 'Tibet Kitchen', 'Manu Bar & Restaurant', 'K.R Hotel', 'Garden City College', 'Cambridge Institute of Technolgy', 'Guntur Oxford School', 'Indus Valley School']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Water Storage', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Aishwarya Chethana Meadows,"Carmelaram, Sarjapur Road",east,2,10+ Year Old,,1084 sq.ft,,78 Lac,"['Shani Temple', 'Holy Trinity Orthodox Chapel', 'Ganesha Temple', 'Pelekamma Temple', 'Citibank ATM', 'Hdfc bank ATM', 'Axis bank ATM', 'State bank of india ATM', 'A & J Ayur Care', 'Karunalayam Hospital', 'Carewell Homoeo Clinic', 'Dr. Elizabeth Jayaseelan', 'Sai Clinic', 'Naadi Ayurveda Center', 'The Family Doctor & The Family Pharma', 'Dr Mohan Nursing Home', 'Navyashree medicals & general stores', 'Brothers Chemists', 'RGA Techpark', 'Andhra bank - doddakanelli branch', 'Canara bank', 'Hdfc bank', 'Axis bank', 'Madurai Idly Shop', 'Birbal Darbar', 'Snigiiz Kitchen', 'Sambrahma', 'Quick Bites', 'Melting Cakes', 'Good Food Kitchen', 'Namma Madurai', 'Malnad Military Hotel & Fast Food', 'Barbeque Nation', 'Sarjapura Social', 'Punjabi Rasoi', 'Social', ""Domino's Pizza"", 'Burger King', 'Cafe 916', 'Vandana', 'California Burrito', 'Pizza Hut', 'Cuppa Coffee', 'South Inn', 'Little Millennium', 'Gear Innovative International School', 'Lakshya Public School', 'Carmelaram railway station', 'Unisys', 'Prestige Trinity Center']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'No open drainage around', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society']"
in Prestige Lakeside Habitat,"Gunjur, near Varthur",east,2,1 to 5 Year Old,,,1195 sq.ft,1.8 Cr,"['Central', 'SH 35', 'Oakridge International School', 'Azim Premji University', 'Sahasra Hospitals', 'Kempegowda International Airport', 'KSR Bengaluru City Junction']","['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
in SS Siri Nivas,"Mahadevapura, Bangalore",east,2,1 to 5 Year Old,900 sq.ft,1122 sq.ft,,1.3 Cr,"['Maheshwari Temple', 'Shaneeswara Temple', 'Icici bank ATM', 'Kvb ATM', 'Axis bank ATM', ""Dr. Roshni's Tooth Planet Dental Clinic"", 'Sreenivasa Poly Clinic', ""Bright Children's Clinic"", ""Bright Children's Clinic"", 'Total Dental Care', 'Maruthi Clinic', 'Venkateshwara Clinic', 'IMS Clinic', 'Sai Smile Venue Dentist', 'Sree Lakshmi Hospital', 'S S Clinic', 'Smile Dental Clinic', 'Smiles Dental Care ECHS Clinic', 'Little Flower Hospital', 'Trinity Homeopathy Clinic', 'Perfect Smile Dental Clinic', 'Sparkle Tooth Care Centre', 'Savitha Multi Speciality Dental Clinic', 'Lyfas Digital Health Clinic', 'Comfort multispeciality hospital', 'Vidyaratnam oeshadhalaya', 'Shakthikrupa Nursing Home', 'Dr. Ravi Ramachandra', ""Sri Vinayaka Dental Concern's"", 'Padma Clinic', ""Grihi's Diabetes Centre"", ""Dr. Pranjali Srivastava's Clinic"", 'Cure N Care Hospital', 'Pharmacy', 'Lahari Medicals', 'Apollo Pharmacy', 'Max Pharma', 'State bank of india', 'Goli', 'California Burrito', ""Domino's"", 'Bakers Park', 'Frosting-Flavours', 'Chulha Chauki da Dhabha', 'Dakshin Spice', 'Northern Flavours Chaat', 'NH 47 Kerala Kitchen', 'Mother Montessori House of Children Pre-school', 'Citrine', 'Aquamarine']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Rain Water Harvesting']"
in SS Siri Nivas,"Mahadevapura, Bangalore",east,2,1 to 5 Year Old,900 sq.ft,,1122 sq.ft,1.3 Cr,"['Maheshwari Temple', 'Shaneeswara Temple', 'Icici bank ATM', 'Kvb ATM', 'Axis bank ATM', ""Dr. Roshni's Tooth Planet Dental Clinic"", 'Sreenivasa Poly Clinic', ""Bright Children's Clinic"", ""Bright Children's Clinic"", 'Total Dental Care', 'Maruthi Clinic', 'Venkateshwara Clinic', 'IMS Clinic', 'Sai Smile Venue Dentist', 'Sree Lakshmi Hospital', 'S S Clinic', 'Smile Dental Clinic', 'Smiles Dental Care ECHS Clinic', 'Little Flower Hospital', 'Trinity Homeopathy Clinic', 'Perfect Smile Dental Clinic', 'Sparkle Tooth Care Centre', 'Savitha Multi Speciality Dental Clinic', 'Lyfas Digital Health Clinic', 'Comfort multispeciality hospital', 'Vidyaratnam oeshadhalaya', 'Shakthikrupa Nursing Home', 'Dr. Ravi Ramachandra', ""Sri Vinayaka Dental Concern's"", 'Padma Clinic', ""Grihi's Diabetes Centre"", ""Dr. Pranjali Srivastava's Clinic"", 'Cure N Care Hospital', 'Pharmacy', 'Lahari Medicals', 'Apollo Pharmacy', 'Max Pharma', 'State bank of india', 'Goli', 'California Burrito', ""Domino's"", 'Bakers Park', 'Frosting-Flavours', 'Chulha Chauki da Dhabha', 'Dakshin Spice', 'Northern Flavours Chaat', 'NH 47 Kerala Kitchen', 'Mother Montessori House of Children Pre-school', 'Citrine', 'Aquamarine']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Rain Water Harvesting']"
in Krishnageet Shelters,"Pai Layout, Mahadevapura",east,2,5 to 10 Year Old,1000 sq.ft,,1175 sq.ft,95 Lac,"['Beniganahalli metro station', 'Bethal Mar Church', 'Yellamma Temple', 'Hanuman Temple', 'Sri Chowdeshwari Temple', 'Canara bank ATM', 'Syndicate bank ATM', 'Feather Touch Dental Care', 'Jeevan hospital', 'Matrusree Clinic', 'Sri Vinayaka Clinic', 'Vedam Ayurveda Multi Speciality Hospital', 'Mahaveer Hospitals', 'Sai Dental', 'Kottakkal Aryavaidyasala', 'Heal & Comfort Homeopathic Clinic', 'Grace dental', 'Life line clinic', 'Prakruti Hospital', 'Mahayogam Clinic', 'Sri Vinayaka Homeopathic Clinic', 'Supriya Diagnostic Center', 'Sparkle Dental Clinic and Healthcare', 'Pragathi Piles Hospital', 'CS Dental Clinic', 'I-labs Dental', 'Cure and Care', 'Kottakil Arya Vaidya Sala', 'Care Medicals', 'Trust medical store', 'Apollo', 'MedPlus', 'Hdfc cv raman nagar bank', 'Icici cv raman nagar bank', 'Syndicate bank', 'Axis bank', 'Gopalan Cinemas', 'Sri Krishna restaurant', 'HotPot', 'Mast calender', 'Dominos Pizza', 'Cafe Coffee Day', 'Pizza Hut', 'Janpriya Tiffin', 'New Tandoor', ""Papa John's"", 'New Krishna Sagar Pure Veg', 'Reddys', 'New Brilliant School', 'KV DRDO']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Recently Renovated', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']"
in Assetz Sun and Sanctum,"Battarahalli, near KR Puram",east,2,Within 3 months,887 sq.ft,,1221 sq.ft,1.3 Cr,"['Baiyappanahalli Metro Station', 'Phoenix Marketcity', 'NH 75', 'Cambridge PU College', 'Sri Prarthana School', 'Sunrise Hospital', 'Kempegowda International Airport', 'Channasandra Station', 'Embassy Manyata Business Park', 'The Waverly Hotel and Residences', 'Aqua World Amusement Park', 'Prestige Augusta Golf Village', 'Battarahalli Indoor Stadium']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
in Godrej Splendour,"Whitefield, Bangalore",east,2,25-Dec,,,981 sq.ft,1.15 Cr,"['Whitefield (Kadugodi) Metro Station', 'Ascendas Park Square Mall', 'Whitefield Hoskote Road', 'Belathur Main Road', 'Orchids The International School', 'MVJ College of Engineering', 'Svyasa University', 'Miracle Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station', 'GR Tech Park Office Space', 'Four Points by Sheraton Bengaluru', 'Battarahalli Indoor Stadium', 'Sky Zone Bengaluru']","['Intercom Facility', 'Lift(s)', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']"
in Signature Classic,"Sompura, Sarjapur Road",east,2,1 to 5 Year Old,,,651 sq.ft,67 Lac,"['Town Hospital', 'Balaji Nursing Home', 'Sri Lakshmi Multi Speciality Hospital', 'Ganesh Medicals', 'Atithi Sagar', 'Amruth Park Land']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
in Brigade Cornerstone Utopia,"Varthur, Bangalore",east,2,0 to 1 Year Old,667 sq.ft,,1097 sq.ft,1.6 Cr,"['Seetharam Palya Metro Station', 'Central Mall', 'State Highway 35', 'The Prodigies International School', 'Garden City University', 'Brookefield Multi Speciality Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station', 'International Tech Park Bangalore', 'Oakwood Residence Whitefield Bangalore', 'Fun World Amusement Park', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']"
in DS Max Sky Shubham,"KR Puram, Bangalore",east,2,25-Jun,800 sq.ft,,,75 Lac,"['Peenya Metro Station', 'Phoenix Marketcity', 'Old Madras Road', 'Samuel Public School', 'Garden City University', 'Patil Hospital', 'Kempegowda International Airport', 'Krishnarajapuram Rlwy Station', 'International Tech Park', 'Howard Johnson by Wyndham', 'Fun World Amusement Park', 'Prestige Augusta Golf Village', 'Bhattarahalli Indoor Stadium']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM']"
in Brigade Cornerstone Utopia,"Varthur, Bangalore",east,2,1 to 5 Year Old,,,1242 sq.ft,1.65 Cr,"['Seetharam Palya Metro Station', 'Central Mall', 'State Highway 35', 'The Prodigies International School', 'Garden City University', 'Brookefield Multi Speciality Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station', 'International Tech Park Bangalore', 'Oakwood Residence Whitefield Bangalore', 'Fun World Amusement Park', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']"
in Gopalan Aqua,"Nagondanahalli, near Whitefield",east,2,1 to 5 Year Old,1015 sq.ft,,1355 sq.ft,1.96 Cr,"['Mint Super Bazaar', 'The Forum Neighbourhood', 'Forum Shantiniketan', 'Kadugodi Foot Over bridge', 'Whitefield Global School', 'MVJ College of Engineering', 'SBI ATM, Hoskote Malur Rd', 'Sri Sathya Sai Institute', 'Vydehi Hospital Multi Speciality', 'HDFC Bank,  Vaikuntam Layout Rd', 'Channasandra bus stop', 'Whitefield Station', 'DTDC Courier Service  Channasandra', 'Bharat Petroleum Corporation', 'Whitefield Traffic Police Station']","['Intercom Facility', 'Lift(s)', 'Water purifier', 'False Ceiling Lighting', 'No open drainage around', 'Bank Attached Property', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']"
in Ahad Serenity,"Sarjapur Road, Bangalore",east,2,Under Construction,,,1145 sq.ft,1.3 Cr,"['Beratena Agrahara Metro Station', 'Market Square Mall Sarjapur Road', 'Srinagr-kanyakumari Highway', 'Amrita Vishwa Vidyapeetham, Bengaluru', 'ORCHIDS The International School', 'Springleaf Hospital', 'Kempegowda International Airport', 'Karmelaram Railway Station', 'JP Software Park', 'The Oterra Hotel', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in United Elysium 2,"Koralur, Thirumalashettyhally, Bangalore",east,2,1 to 5 Year Old,1280 sq.ft,,,80 Lac,"['Vallasiddi Vinayaka Temple Chansandra', 'Rama temple', 'Lady of Lourdes Chruch', 'Calvary Church', 'Hdfc bank ATM', 'Punjab national bank ATM', 'Andhra bank ATM', 'State bank of india ATM', 'New Life Hospital bangalore', 'Bhagwan Mahavir Jain Health Center', 'Tele Rad RX DX Health care Pvt Ltd', 'Sky Diagnostic Centre kumbena agrahara', 'Telerad RXDX Kadugodi', 'Coporation city bank', 'Karnataka bank', 'Manappuram finance bank', 'Axis bank atm', 'Icici bank', 'Axis bank', 'Ujjivan small finance bank', 'Bandhan bank', 'Idfc first bank whitefield', 'Syndicate bank', 'New Uduppi Hotel', 'Chandana Bakery', 'Om Sai Punjabi Dhaba', 'Nandi Upachar', 'Adyar Ananda Bhavan', 'Shanmukha Restaurant', 'Baskin Robbins', 'Cafe Coffee Day', 'Chung WAH', 'Khan Saheb', 'manju wines', 'Thallasery Restaurant', 'Indira Canteen', 'Dosa Time', 'Abhiruchi', 'Government Model middle school', 'MVJ College of Engineering', 'Whitefield Global School', 'Divine Light Trust For The Blind', 'Footprints Preschool and Daycare', 'Government School', 'Apple Kids', 'Kuvempu Smaraka Vidya Kendra School', 'Maple Bear Canadian Pre-School', 'Whitefield railway station']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in stone bridge tranquil,"Medahalli, Bangalore",east,2,Under Construction,,,1100 sq.ft,65 Lac,"['Bank of india ATM', 'Sbi ATM', 'Icic bank ATM', 'Satya Sai', 'S.N. Hospital', 'Geetha Hospital', 'Seegehalli Government Hospital', 'Swiss Medic Health Care', 'Shanthinilaya Hospital', 'Indira Sai Dental Care', 'Health Plus Multi Speciality Hospital', 'Thyrocare', 'Pooja Dental and Orthodontic Clinic', 'Vijaya Lakshmi Clinic', 'Tirumala Newborn Kids and Ortho Clinic', ""Dr. Mohan Babu's Clinic"", 'Shankar Nursing Home and Diagnostic Labratory', 'Aditya Pharma', 'SLV medicals', 'Rashi Medical Stores', 'Bharat Petroleum', 'Manu Bar & Restaurant', 'Bruice Bar & Restaurant', 'Tibet Kitchen', 'Bhagini Residency', 'Dominos Pizza', 'K.R Hotel', 'Garden City College', 'Cambridge Institute of Technolgy']","['Security / Fire Alarm', 'Lift(s)', 'Water Storage']"
in Gopalan Aqua,"Nagondanahalli, near Whitefield",east,2,Within 3 months,1000 sq.ft,1250 sq.ft,1355 sq.ft,1.9 Cr,"['Mint Super Bazaar', 'The Forum Neighbourhood', 'Forum Shantiniketan', 'Kadugodi Foot Over bridge', 'Whitefield Global School', 'MVJ College of Engineering', 'SBI ATM, Hoskote Malur Rd', 'Sri Sathya Sai Institute', 'Vydehi Hospital Multi Speciality', 'HDFC Bank,  Vaikuntam Layout Rd', 'Channasandra bus stop', 'Whitefield Station', 'DTDC Courier Service  Channasandra', 'Bharat Petroleum Corporation', 'Whitefield Traffic Police Station']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']"
in Sumadhura Eden Garden,"Whitefield, Bangalore",east,2,1 to 5 Year Old,,,1096 sq.ft,1.51 Cr,"['Ascendas Park Square Mall', 'SH 35, Ardendale, Kannamangala', 'East Point College of Higher Education', 'Lake Montfort School,Medahalli', 'The Bangalore School', 'New Life Hospital', 'Siliconcity Hospitals in Hoskote', 'Kempegowda Intl Airport Bengaluru', 'Hoodi Halt Railway Station']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Water softening plant']"
