apartment_name,zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility,luxury_facility_scores,luxury_category,Latitude,Longitude,apartment_loc,price_per_sqft,price_range,area_range
Guna Eila,south,2,Old,,998.0,1111.0,0.9,"['Immaculate Conception Church', 'Islamia Institue Masjid', 'Cave Temple', 'Sai Baba Temple', 'Temple', 'Ganesha Temple', 'Bank of baroda ATM', 'Axis ATM', 'Vijayashree Hospitals', 'Myo Medex - Ace Speciality Clinic', 'Narayana Nethralaya', 'Meenaakshi Convention Center', 'Ramdev medicals', 'krishna medicals', 'BMTC Bus Depot 34', 'Shell Petrol Bunk', 'Hulimavu Indian Oil Gastation', 'Canara bank', 'South indian bank', 'Cinepolis', 'BGS NPS Auditorium', 'Sri Sai Sagar', 'Kubera Biriyani Paradise', 'Kalmane Koffees', 'Cafe Coffee Day', 'KFC', ""McDonald's"", 'Rajdhani Thali', 'TGIF', 'Aharam - The Food Court', 'Oye Amritsar', 'The Pint Room', 'Guru Greens Family Restaurant', ""Domino's Pizza"", 'Sudarshan Public School cbse Gottigere', 'Sri Ramakrishna C E Kendra Gottigere', 'GHPS Gottigere', 'Vidyakirana Public School Kothanur', 'Islamia Institute of Technology', 'GHPS Venugopal Nagar', 'GHPS Jambusavari Dinne', 'Silicon Vally LPS', 'Little Angels', 'GHS', 'T John Institute of Technology', 'Skalvi School', 'Clever Land Kottanuru Dinne Kothanur', 'The Little Angels School Kothanur', 'GMPS', 'Classic Orchards Swimming Pool']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage', 'Park', 'Visitor Parking']",0.0,low,12.8855,77.5955,Himagiri Meadows,8100.810081,50L-1Cr,< 1000 sqft
Guna Mellow,south,3,Relatively New,,1317.0,1465.0,1.6,"['Ganesha Temple', 'Immaculate Conception Church', 'Sai Baba Temple', 'Islamia Institue Masjid', 'Corporation bank ATM', 'State bank of india ATM', 'Indian bank ATM', 'T.R.Hospital', 'Meenakshi ENT Speciality Centre', 'Narayana Nethralaya', 'Meenaakshi Convention Center', 'Vinayaka Medical & General Stores', 'Laxmi Medicals', 'Apollo Pharmacy', 'BMTC Bus Depot 34', 'South indian bank', 'Corporation bank', 'Syndicate bank', 'Hdfc bank', 'Cinepolis', 'Delicacy', 'Kalmane Koffees', 'KFC', ""McDonald's"", 'Cafe Coffee Day', 'TGIF', 'Oye Amritsar', 'The Pint Room', 'Rajdhani Thali', ""Domino's Pizza"", 'Vidyakirana Public School Kothanur', 'A E T School Sree Annapoornesh Kothanur', 'The Little Angels School Kothanur', 'Clever Land Kottanuru Dinne Kothanur', 'Skalvi School', 'GHPS Kothanur', 'Sri Ramakrishna C E Kendra Gottigere', 'GHPS Jambusavari Dinne', 'Jnanavikas HPS Kothanur', 'Orchids The International School', 'Sri Sarathy English School Kothanur', 'Little Aryans', 'Parilok', 'Islamia Institute of Technology', 'Lady Wellington School Kothanur', 'Edify Kids', 'Bachpan', 'Ennar School Aadithya Nagar Kothanur', 'Sri Maruthi Edu Trust School Kothanur', 'Classic Orchards Swimming Pool']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Waste Disposal', 'Club house / Community Center']",43.0,low,12.9055,77.5955,8th Phase JP Nagar,10921.50171,1.5Cr-2Cr,1000-1500 sqft
Gunjur Apartments,east,2,Under Construction,987.0,1191.0,1345.0,1.46,"['State bank of india ATM', 'State bank of india ATM', 'Axis bank ATM', 'Hdfc bank ATM', 'Citibank ATM', 'Clinic', 'add-on Scans & Labs', 'Apollo Clinic', 'Stanford Speciality Hospital', 'Vaatsalya Homeopathy Clinic', 'Dr Mohan Nursing Home', 'The Family Doctor & The Family Pharma', 'Naadi Ayurveda Center', 'Alpha Clinics', 'Sparsh Clinic', 'Addresshealth Child Health Clinic', 'The Smile Kraftz Speciality Clinic', 'MedPlus Medical Center', 'Apollo Pharmacy', 'Krishna Medical & General Stores', 'Ramdev Medicals', 'Brothers Chemists', 'Banashankari Medicals', 'South indian bank', 'Karnataka bank', 'Kotak mahindra bank', 'Icici bank', 'Andhra bank', 'Hdfc bank', 'Chai World', 'Xplod resto bar', 'Chai Point', 'Xtreme Sports Bar', 'South Inn', 'Pizza Hut', 'Cuppa Coffee', 'Nandini', 'Dosa Time', 'Juice', 'Aroi', 'Chat & More', 'California Burrito', 'Vandana', 'Amrutha multicuisine restaurant', 'Cafe 916', 'Nayi Dilli', 'Purani Dilli', 'Burger King', 'Vidyarambh Play School', 'Podar Happy Kids']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting']",95.0,medium,12.9155,77.6655,Kasavanhalli,10855.01859,1Cr-1.5Cr,1000-1500 sqft
Gunjur Apartments Corporate Leisure GR Sunshine,east,2,Relatively New,807.0,959.0,1080.79,1.3,"['Town Hospital', 'Ganesh Medicals', 'Atithi Sagar']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",39.0,low,12.9505,77.7265,Gunjur,12028.2386,1Cr-1.5Cr,< 1000 sqft
Gupta Pride,north,3,New Property,,1379.0,1534.0,1.22,"['Shiva Temple', 'Anjaneya Temple', ' ATM', 'Icici bank ATM', 'State bank of india ATM', 'Axis bank ATM', 'Navachethana Hospital', 'Apple Hospital', 'Omega Multispeciality Hospital', 'Mathru Clinic', 'Newtown Childrens Clinic', 'Srividya Clinic', 'Sri Satya Sai Orthopaedic Clinic', 'Apex Poly Clinic', 'Bengalure Hospital', 'SB Clinic', ""Attharva Dental and Children's Clinic"", 'Just Smiles', 'Elite 33 Dental Clinic', 'Rainbow Health Care', 'Sri Gurumangala Eye Foundation', 'Naina Polyclinic & Physiotherapy Centre', ""Dr. Shetty's Dental Specialities"", 'Rangalakshmi Netralaya', 'Guruprasad Clinic', 'Rangalakshmi Netralaya', 'Raksha Orthocare', 'Prasad Hospital Bengaluru Urban', 'Partha Dental Clinic', 'Chaitanya Hospital', 'Allahabad bank', 'Icici bank', 'Uco bank', 'Ganesh Theatre', 'Namma Mane', 'Mallu Bakery', 'Biryani Zone', 'New Udupi Veg', 'Schezwan', 'Kadai', 'Cafe Coffee Day', 'Udupi Grand', 'Sri Ganesh Bake Paradise', 'Kanti sweets', 'Old Campus Srishti School of Art Design and Technology', 'Drishya', 'Srishti School of Art Design and Technology', 'N2 Srishti school of art design and technology', 'Poorna Prajna Education Center', 'Chaitnya nursing School']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Security Personnel', 'Natural Light', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",73.0,medium,13.1005,77.5955,RWF West Colony,7953.063885,1Cr-1.5Cr,1000-1500 sqft
Guru Anandham,north,3,Under Construction,,2481.0,2796.09,3.8,"['Ganesha Shrine', 'Shri Anjaneya shrine', 'Krishnadevaraya Hospital And Research Centre', 'CyteCare', 'Brains Hospital', 'Ganga ENT Clinic', 'Om Shakthi Hospital', 'Saranalaya Hospital', 'Royal Kempegowda Convention Center', 'Bus Station Puttanahalli', 'Hotel Annalakshmi Pure Veg', 'New Udupi Park', '3 Peg Bar and Restaurant', 'Nitte Meenakshi Institute of Technology', 'Ryan International School', 'B.M.S. Institute of Technology and Management', 'Cricket Field', 'Basketball Court', 'LAWNTENNIS COURT', 'Football Ground']","['Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",41.0,low,13.1005,77.5955,Yelahanka,13590.4066,> 2Cr,2000-2500 sqft
Gurukrupa Pristine,east,4,New Property,,1425.0,1605.98,0.71,"['State bank of india ATM', 'Hdfc bank ATM', 'Punjab national bank ATM', 'Nationwide Kadugodi Clinic', 'Telerad RXDX Kadugodi', 'Tele Rad RX DX Health care Pvt Ltd', 'Sky Diagnostic Centre kumbena agrahara', 'New Life Hospital bangalore', 'Kannamangala Primary Health Center', 'International Tech Park', 'Shell', 'State bank of india', 'Aiswarya Malayali Hotel', 'Delhi Mahal Restaurant', 'Subway', 'Delhiwale', 'Wild Beans', 'Bhagini Residency', 'Whitefield railway station']","['Lift(s)', 'Park', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",217.0,high,12.9055,77.5955,Unknown,4420.9766,50L-1Cr,1000-1500 sqft
HD Rocks India,south,2,New Property,1100.0,1307.0,1472.99,1.1,"['Indian bankn ATM', 'State bank of india ATM', 'Shekar Nethralaya Bengaluru Urban', 'Rainbow Children Hospital', 'Dr. Revathi Prasad', 'Ashya Clinic', 'Parimala Health Care', 'All Smiles Dental Health Centre', 'Anurag Medical Centre', 'Dr Agarwals Eye Hospital Ltd', 'Indian Oil Corporation', 'Indian Oil Corporation', 'Axis bank', 'Yes bank', 'Apex bank', 'State bank of india', 'State bank of india', 'Barbeque Nation', 'Dominos Pizza', 'Au Bon Pain', 'Daily Bread', 'K.F.C', 'Nagarjuna Andhra Style', 'KFC & Nagarjuna', 'Chaithanya Restaurant', ""Domino's Pizza"", 'Kalpavruksha', 'Gelato', 'Pizza Stop', 'New Kabab Zone', 'Brahmashree Juice and Condiments', 'Kebab', 'Sattvik Udupi Uphar', 'Sri Nanjundeshwara bar and restaurant', 'Shri Lakshmi Darshini', 'Prasanna bar and restaurant', 'Park View', 'Starbucks', 'Hotel Aradhana', 'MTR 1924', 'Sri Chaitanya Grand', ""Papa John's"", 'Purbhi', 'Pizza Hut', 'Ekya School', 'Sri Balamuri Vidya Samste LPS B T M Layout W No 65', 'Green Paschers KHPS Ns Palya B T M Layout W No 65', 'GHPS NS Palya', 'Aplopio', 'Consultants Factory']","['Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage']",0.0,low,12.9755,77.5755,Dollar Layout,7467.803583,1Cr-1.5Cr,1000-1500 sqft
HM Tropical Tree,north,4,Relatively New,2930.0,3383.0,3655.0,5.6,"['Elements Mall', 'Esteem Mall', 'Ramaiah Institute Of Technology', 'Presidency College', 'Ramaiah Memorial Hospital', 'Manipal Hospital, Millers Rd', 'Embassy Manyata Business Park', 'Snow City, Fun World Complex', 'Pushpanjali A/C Digital', 'Sri Radhakrishna Theatre', 'Bangalore Palace']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting']",217.0,high,13.0105,77.5855,RT Nagar,15321.47743,> 2Cr,> 2500 sqft
HM West Park,north,3,Old,1640.0,1949.0,2196.52,2.12,"['Ganesha', 'Grace Church', 'Chinmaya Mission', 'Sbi bank ATM', 'Bank of india ATM', 'Ing vysya ATM', 'Manipal Northside Hospital', 'Indira Eye Clinic', 'Jupiter Hospital And Institute Of Vascular Surgery', 'Sowmya Dental Care', 'Arogyadhama', 'Neuro Center', 'Leela Hospital and Diagnostic Center', 'Nayak Hospital Gayathri Nagar', 'Dr. Ashwath N Rao', 'Vijaya Ent Care Centre', 'Shukra Auditorium', 'Boy Scouts', 'New Pushyamee', 'Manipal North Side Pharmacy', 'Pushyamee', 'Pushyamee Medicals', 'Sree Sai Maruthi Medical', 'Apple Pharma', 'MedPlus', 'Religare Medicals', 'Leela medicals', 'Shamrao vittal cooperative bank', 'Sree charan bank', 'Ing vysya bank', 'Bank of india', 'Icici bank', 'Bajji', 'Sri Ragha Vendra Store', 'Amrut Ice-cream', 'Big Straw Boba Bistro', 'Coffee Day', 'viking', 'Sai Shakti', ""Chetty's Corner"", 'Naturals', 'Sai Chats', 'Baskin Robbins', 'Udupi Upachaar Veg', '1947 Restaurant', 'B. P. Indian', 'Bangalore Education Society', 'Malleswaram railway station', 'Ati Motors', 'ThinkTac']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",97.0,medium,12.9985,77.5545,Malleshwaram,9651.630761,> 2Cr,1500-2000 sqft
HM World City,south,2,Relatively New,,1237.0,1377.0,1.25,"['SBI ATM', 'BOB ATM', 'Axis Bank ATM', 'Canara Bank ATM', 'HDFC bank ATM', 'Tara day Care Hospital', 'TR Hospital', 'Rajnandini Hospital', 'Vijayashree hospital', 'Sri Sai Ram Hospital', 'The Indian Rasoi', 'New udupi Grand', 'kakal Danapani Fine Dining', ""Chandrima's Kitchen"", 'Swad Puneri']","['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",69.0,medium,12.9055,77.5955,Royal LakeFront Phase-3 North,9077.705156,1Cr-1.5Cr,1000-1500 sqft
HSK Urban Living Electronics City,south,3,Under Construction,,1114.0,1240.0,0.98,"[('nps hosur road', '500 ms'), ('fs school', '650 ms'), ('t.francis de sales degree college', '700 m'), ('vimalalaya hospital', '850 m'), ('infosys', '4.6 kms'), ('ilk board junction', '12.4 km'), ('narayana health city', '3.3 km')]","[""Children's Play Area"", 'Mini Theatre', 'Jogging Track', 'Park', 'Gymnasium', 'Club House', 'Basketball Court', 'Badminton Court', 'Swimming Pool']",23.0,low,12.8355,77.6555,Chikkanayakanahalli,7903.225806,50L-1Cr,1000-1500 sqft
Habilus Classic,south,1,New Property,472.0,546.0,591.0,0.22,"['NH-7', 'Halitaxi station', 'Christ and Treamis School', 'Symboisis', 'Infosys', 'Wipro', 'Crown Plaza']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Rain Water Harvesting']",73.0,medium,12.8355,77.6555,Kammasandra,3722.50423,< 50L,< 1000 sqft
Habilus Elite 2,south,2,Relatively New,925.0,1039.0,1089.0,0.6,"['Vishal Mega Mart', 'Suvidya College', 'National Public School', 'ICICI BANK ATM', 'HDFC Bank', 'Electronic City Bus Stop', 'Tata Consultancy Services', 'Indian Oil Madduramma Petrol Station']","['Power Back-up', 'Lift(s)', 'Fitness Centre / GYM', 'Rain Water Harvesting']",13.0,low,12.8355,77.6555,Kammasandra,5509.641873,50L-1Cr,1000-1500 sqft
Habilus Enclave 3,south,1,New Property,597.0,709.0,799.04,0.23,"['Hebbagodi metro station', 'Bommasandra metro station', 'Shri Chappara Vinaayaka Devara Gudi', 'Ganapathi Temple', 'Ebenzerer Chirch', 'Temple', 'Axis bank ATM', 'Canara bank ATM', 'Yashaayu Multi Speciality Ayurveda and Panchakarma Centre', 'JJ Hospitals', 'Elite Canals Dental Clinic', 'Sri Sai Clinic', 'Kottakkal Arya Vaidya Shaala', 'Pet Vet Shop', 'Anjaneya Homeo Care', 'Goverment Veterinary Clinic', 'Vimalaya Hospital', 'Bhumika Hospital', 'Svasthir Care Centre', 'Sri Sudhindra Sabhangana', 'Apollo Pharmacy', 'SLV Medical and Chemist', 'Priyadarshini Petrol Gas Station', 'Indian Oil', 'Cqtholic syrian bank', 'South indian bank', 'Meat and Eat', 'Sweet Revenge', 'KFC', 'Hotel Prashanth', 'Thirumala bar', 'Cafe Coffee Day', 'Thali', 'Time Traveler sai Vishram Electronic', 'Royal South Restaurant', 'Ritz Electronic City', 'Sunshine', 'On The Rock Electronic City', 'Narayana Veg Treat', 'Urban Herbivore', 'Varvathi', 'Hotel Food Zone', 'New Punjabi Foodcorner', 'Ebenezer International School Bangalore', 'BTL Institute of Technology', 'Jiffy Cable and Datacom', 'Moog Controls India Private Limited', 'Infosys Office', 'Tessolve']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']",29.0,low,12.8355,77.6555,Electronics City Phase 2,2878.454145,< 50L,< 1000 sqft
Habilus Green View,south,2,New Property,792.0,941.0,1060.51,0.33,"['Punjab national bank ATM', 'Icici ATM', 'Kvb ATM', 'Karnataka bank ATM', 'Citibank ATM', 'Corporation bank ATM', 'Shree Vinayaka Multispeciality Centre', 'Wipro First Aid Clinic', 'E-City Family Dental Centre', 'Srujana Hospital', 'Dietician Priyanka Khandelwal', 'Clinic', 'The Dental Square Multispeciality Clinic', 'Balaji Medical', 'Trust Medicals', 'Wipro EC Bus Stand', 'Vijaya bank', 'Icici bank', 'Hdfc bank', 'State bank of india', 'Karnataka bank', 'Idbi bank', ""Papa John's"", 'Barista', 'She Brews', 'Eat And Meet', 'New Green Leaf Restaurant', 'Mama-G', 'Punjabi Dhaba', ""Mamaji's"", 'Andhra Mess', 'Oasis Bar and Restuarant', 'Moritz restaurant', 'Bombay Kulfi', 'Kerala Mess', 'Sandesh Sweets and Chats', 'Cafe Neeladri', 'Mast Kalandar', 'Sky Bar', 'Burger King', 'Dominos', 'KFC', 'Kritunga', 'EC1 Canteen', 'Greens bar and restaurant', 'Pot Biryani', 'Soul Indian Speciality Svenska', 'Foodware', 'Just books library', 'Wipro isd library']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",85.0,medium,12.8355,77.6555,Electronics City,3111.710403,< 50L,< 1000 sqft
Habilus Green View Apartment,south,2,Relatively New,,945.0,1065.02,0.47,"['Hebbagodi metro station', 'Bommasandra metro station', 'Shri Chappara Vinaayaka Devara Gudi', 'Ganapathi Temple', 'Ebenzerer Chirch', 'Temple', 'Axis bank ATM', 'Canara bank ATM', 'Yashaayu Multi Speciality Ayurveda and Panchakarma Centre', 'JJ Hospitals', 'Elite Canals Dental Clinic', 'Sri Sai Clinic', 'Kottakkal Arya Vaidya Shaala', 'Pet Vet Shop', 'Anjaneya Homeo Care', 'Goverment Veterinary Clinic', 'Vimalaya Hospital', 'Bhumika Hospital', 'Svasthir Care Centre', 'Sri Sudhindra Sabhangana', 'Apollo Pharmacy', 'SLV Medical and Chemist', 'Priyadarshini Petrol Gas Station', 'Indian Oil', 'Cqtholic syrian bank', 'South indian bank', 'Meat and Eat', 'Sweet Revenge', 'KFC', 'Hotel Prashanth', 'Thirumala bar', 'Cafe Coffee Day', 'Thali', 'Time Traveler sai Vishram Electronic', 'Royal South Restaurant', 'Ritz Electronic City', 'Sunshine', 'On The Rock Electronic City', 'Urban Herbivore', 'Narayana Veg Treat', 'Varvathi', 'Hotel Food Zone', 'New Punjabi Foodcorner', 'Ebenezer International School Bangalore', 'BTL Institute of Technology', 'Jiffy Cable and Datacom', 'Moog Controls India Private Limited', 'Infosys Office', 'Tessolve']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Visitor Parking', 'Fitness Centre / GYM']",95.0,medium,12.8355,77.6555,Neeladri Nagar,4413.062665,< 50L,< 1000 sqft
Habilus Harmony,south,1,New Property,630.0,749.0,844.12,0.23,"['Hebbagodi metro station', 'Bommasandra metro station', 'Shri Chappara Vinaayaka Devara Gudi', 'Ganapathi Temple', 'Ebenzerer Chirch', 'Temple', 'Axis bank ATM', 'Canara bank ATM', 'JJ Hospitals', 'Yashaayu Multi Speciality Ayurveda and Panchakarma Centre', 'Elite Canals Dental Clinic', 'Sri Sai Clinic', 'Kottakkal Arya Vaidya Shaala', 'Pet Vet Shop', 'Anjaneya Homeo Care', 'Vimalaya Hospital', 'Goverment Veterinary Clinic', 'Bhumika Hospital', 'Svasthir Care Centre', 'Sri Sudhindra Sabhangana', 'Apollo Pharmacy', 'SLV Medical and Chemist', 'Indian Oil', 'Priyadarshini Petrol Gas Station', 'South indian bank', 'Cqtholic syrian bank', 'Meat and Eat', 'Sweet Revenge', 'KFC', 'Hotel Prashanth', 'Thirumala bar', 'Cafe Coffee Day', 'Thali', 'Royal South Restaurant', 'Time Traveler sai Vishram Electronic', 'Ritz Electronic City', 'Sunshine', 'On The Rock Electronic City', 'Varvathi', 'Narayana Veg Treat', 'Urban Herbivore', 'New Punjabi Foodcorner', 'Hotel Food Zone', 'Ebenezer International School Bangalore', 'Jiffy Cable and Datacom', 'Moog Controls India Private Limited', 'Infosys Office', 'Tessolve', 'Biocon']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking']",50.0,medium,12.8355,77.6555,Electronics City Phase 2,2724.731081,< 50L,< 1000 sqft
Habilus Heights,south,3,New Property,1296.0,1540.0,1735.58,0.54,"['Punjab national bank ATM', 'Icici ATM', 'Kvb ATM', 'Karnataka bank ATM', 'Citibank ATM', 'Corporation bank ATM', 'Shree Vinayaka Multispeciality Centre', 'E-City Family Dental Centre', 'Wipro First Aid Clinic', 'Srujana Hospital', 'Clinic', 'Dietician Priyanka Khandelwal', 'The Dental Square Multispeciality Clinic', 'Balaji Medical', 'Trust Medicals', 'Wipro EC Bus Stand', 'Vijaya bank', 'Icici bank', 'Hdfc bank', 'State bank of india', 'Karnataka bank', 'Idbi bank', ""Papa John's"", 'Barista', 'She Brews', 'New Green Leaf Restaurant', 'Eat And Meet', 'Mama-G', ""Mamaji's"", 'Oasis Bar and Restuarant', 'Moritz restaurant', 'Sandesh Sweets and Chats', 'Punjabi Dhaba', 'Andhra Mess', 'Bombay Kulfi', 'Cafe Neeladri', 'Kerala Mess', 'Mast Kalandar', 'Burger King', 'Dominos', 'Kritunga', 'Sky Bar', 'KFC', 'Greens bar and restaurant', 'EC1 Canteen', 'Pot Biryani', 'Soul Indian Speciality Svenska', 'Foodware', 'Just books library', 'Wipro isd library']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'Park', 'Visitor Parking']",48.0,low,12.8355,77.6555,Electronics City,3111.351825,50L-1Cr,1500-2000 sqft
Habilus Nest,south,2,New Property,1089.0,1294.0,1458.34,0.44,"['Punjab national bank ATM', 'Icici ATM', 'Kvb ATM', 'Karnataka bank ATM', 'Citibank ATM', 'Corporation bank ATM', 'Shree Vinayaka Multispeciality Centre', 'E-City Family Dental Centre', 'Srujana Hospital', 'Wipro First Aid Clinic', 'Clinic', 'Dietician Priyanka Khandelwal', 'The Dental Square Multispeciality Clinic', 'Balaji Medical', 'Trust Medicals', 'Wipro EC Bus Stand', 'Icici bank', 'Vijaya bank', 'Hdfc bank', 'State bank of india', 'Karnataka bank', 'Idbi bank', ""Papa John's"", 'Barista', 'She Brews', 'New Green Leaf Restaurant', 'Mama-G', 'Eat And Meet', ""Mamaji's"", 'Oasis Bar and Restuarant', 'Moritz restaurant', 'Sandesh Sweets and Chats', 'Cafe Neeladri', 'Mast Kalandar', 'Burger King', 'Dominos', 'Kritunga', 'Punjabi Dhaba', 'Andhra Mess', 'Bombay Kulfi', 'Kerala Mess', 'Greens bar and restaurant', 'Sky Bar', 'KFC', 'EC1 Canteen', 'Soul Indian Speciality Svenska', 'Pot Biryani', 'Foodware', 'Just books library', 'Wipro isd library']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",50.0,medium,12.8355,77.6555,Neeladri Nagar,3017.129065,< 50L,1000-1500 sqft
Habilus Pride,south,2,Relatively New,,1090.0,1228.43,0.44,"['Bommasandra metro station', 'Hebbagodi metro station', 'Shri Chappara Vinaayaka Devara Gudi', 'Ganapathi Temple', 'Ebenzerer Chirch', 'Temple', 'Axis bank ATM', 'Canara bank ATM', 'Yashaayu Multi Speciality Ayurveda and Panchakarma Centre', 'JJ Hospitals', 'Elite Canals Dental Clinic', 'Sri Sai Clinic', 'Kottakkal Arya Vaidya Shaala', 'Pet Vet Shop', 'Anjaneya Homeo Care', 'Goverment Veterinary Clinic', 'Vimalaya Hospital', 'Bhumika Hospital', 'Svasthir Care Centre', 'Global Speciality Hospital', 'Sri Sudhindra Sabhangana', 'Apollo Pharmacy', 'SLV Medical and Chemist', 'Priyadarshini Petrol Gas Station', 'Indian Oil', 'Cqtholic syrian bank', 'South indian bank', 'Meat and Eat', 'Sweet Revenge', 'KFC', 'Hotel Prashanth', 'Thirumala bar', 'Ritz Electronic City', 'Time Traveler sai Vishram Electronic', 'Cafe Coffee Day', 'Sunshine', 'Thali', 'On The Rock Electronic City', 'Royal South Restaurant', 'Narayana Veg Treat', 'Urban Herbivore', 'Hotel Food Zone', 'MBR Dum Biryani County', 'Varvathi', 'Ebenezer International School Bangalore', 'BTL Institute of Technology', 'Jiffy Cable and Datacom', 'Moog Controls India Private Limited', 'Infosys Office']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",0.0,low,12.9505,77.7265,Maragondanahalli,3581.807673,< 50L,1000-1500 sqft
Habilus Sai Serenity,south,1,Relatively New,,545.0,614.22,0.22,"['Hebbagodi metro station', 'Bommasandra metro station', 'Huskur road metro station', 'Shri Chappara Vinaayaka Devara Gudi', 'Ganapathi Temple', 'Ebenzerer Chirch', 'Axis bank ATM', 'Canara bank ATM', 'Elite Canals Dental Clinic', 'Yashaayu Multi Speciality Ayurveda and Panchakarma Centre', 'JJ Hospitals', 'Sri Sai Clinic', 'Kottakkal Arya Vaidya Shaala', 'Pet Vet Shop', 'Anjaneya Homeo Care', 'Goverment Veterinary Clinic', 'Vimalaya Hospital', 'Bhumika Hospital', 'Svasthir Care Centre', 'Sri Sudhindra Sabhangana', 'Apollo Pharmacy', 'SLV Medical and Chemist', 'Priyadarshini Petrol Gas Station', 'Indian Oil', 'South indian bank', 'Cqtholic syrian bank', 'Meat and Eat', 'Sweet Revenge', 'KFC', 'Hotel Prashanth', 'Thirumala bar', 'Cafe Coffee Day', 'Time Traveler sai Vishram Electronic', 'Thali', 'Sunshine', 'Royal South Restaurant', 'Ritz Electronic City', 'On The Rock Electronic City', 'Urban Herbivore', 'Narayana Veg Treat', 'Varvathi', 'New Punjabi Foodcorner', 'Hotel Food Zone', 'Ebenezer International School Bangalore', 'BTL Institute of Technology', 'Jiffy Cable and Datacom', 'Moog Controls India Private Limited', 'Infosys Office', 'Tessolve', 'Biocon']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water Storage', 'Visitor Parking']",51.0,medium,12.8355,77.6555,Electronics City Phase 1,3581.778516,< 50L,< 1000 sqft
