bulit_area,zone_east,zone_north,zone_south,zone_west,construction_status,bhk_type,luxury_category,price_value
0.26957928802588993,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.71
0.40722761596548,1.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0
0.11574973031283711,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.85
0.10679611650485438,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.97
0.12276159654800434,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.76
0.14811218985976268,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.1
0.261596548004315,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.79
0.13322545846817693,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.83
0.06752966558791801,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.4
0.1250269687162891,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.46
0.1696871628910464,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.72
0.133764832793959,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.95
0.2074433656957929,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.2
0.04832793959007551,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
0.10852211434735706,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.6
0.17011866235167206,0.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0
0.15663430420711974,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.1
0.20010787486515644,1.0,0.0,0.0,0.0,1.0,3.0,1.0,4.09
0.5098166127292341,1.0,0.0,0.0,0.0,2.0,3.0,1.0,5.3
0.10809061488673138,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.75
0.22362459546925567,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.7
0.2764832793959007,1.0,0.0,0.0,0.0,2.0,3.0,2.0,4.5
0.1267529665587918,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.53
0.22524271844660196,1.0,0.0,0.0,0.0,3.0,3.0,1.0,3.18
0.4142394822006472,1.0,0.0,0.0,0.0,1.0,2.0,0.0,7.3
0.14153182308522116,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
0.11499460625674218,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.36
0.13732470334412084,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.14
0.17713052858683928,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0
0.13851132686084144,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.4
0.3042071197411003,0.0,1.0,0.0,0.0,0.0,2.0,1.0,4.21
0.13635382955771305,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.6
0.14811218985976268,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.17
0.17777777777777778,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.25
0.1353829557713053,0.0,0.0,0.0,1.0,5.0,2.0,0.0,1.55
0.1376483279395901,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.48
0.09697950377562028,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.9
0.17562028047464942,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.08
0.13408845738942826,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.59
0.14261057173678535,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.85
0.06084142394822007,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.49
0.16310679611650486,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.78
0.06666666666666668,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.4
0.12233009708737866,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.1
0.18953613807982742,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.4
0.4042071197411003,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.5
0.15221143473570659,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.4
0.08727076591154262,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.36
0.13732470334412084,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.61
